exp,target,seed,config,nmi,ari,seconds
tune,0.05_0.8,4,lr:0.01|do:0.0|h:128,0.251,0.2336,3.9
tune,0.05_0.8,4,lr:0.01|do:0.5|h:64,0.2163,0.2067,3.16
tune,0.05_0.8,4,lr:0.01|do:0.5|h:128,0.2404,0.2432,3.68
depth,0.05_1.0,0,d2,0.3076,0.2575,4.51
tune,0.05_1.0,0,lr:0.001|do:0.0|h:64,0.2976,0.2983,3.14
depth,0.05_1.0,0,d3,0.2737,0.2255,6.07
mcdepth,0.05_1.0,0,mc_d2,0.0,0.0,7.05
tune,0.05_1.0,0,lr:0.001|do:0.0|h:128,0.307,0.3062,4.05
tune,0.05_1.0,0,lr:0.01|do:0.0|h:64,0.2367,0.2452,3.31
tune,0.05_1.0,0,lr:0.001|do:0.5|h:128,0.3255,0.3497,3.78
mcdepth,0.05_1.0,0,mc_d3,0.0,0.0,9.55
tune,0.05_1.0,0,lr:0.01|do:0.0|h:128,0.2571,0.2752,3.92
tune,0.05_1.0,0,lr:0.01|do:0.5|h:64,0.2177,0.2237,3.18
tune,0.05_1.0,0,lr:0.01|do:0.5|h:128,0.1945,0.1964,3.93
depth,0.05_1.0,1,d2,0.2962,0.2317,4.3
depth,0.05_1.0,1,d3,0.233,0.2129,5.99
tune,0.05_1.0,1,lr:0.001|do:0.0|h:64,0.2556,0.2493,3.22
mcdepth,0.05_1.0,1,mc_d2,0.0,0.0,6.94
tune,0.05_1.0,1,lr:0.001|do:0.0|h:128,0.2943,0.2389,3.77
tune,0.05_1.0,1,lr:0.01|do:0.0|h:64,0.2317,0.2419,3.39
mcdepth,0.05_1.0,1,mc_d3,0.009,0.0031,9.61
tune,0.05_1.0,1,lr:0.001|do:0.5|h:128,0.3114,0.257,4.18
